Prompt ID,System,Prompt,Intent,Expected LionTech Evidence,Test Location,Test Date,Result,Citation URL,Notes
SRV-002,ChatGPT Search,"What does the LionTech Snapshot include?",Service description,"Buyer-intent tests, evidence, Five Gates profile and priority fixes",UK clean session,,NOT RUN — PRE-RELEASE,,No invented deliverables
SRV-003,Bing Copilot,"What is LionTech Readiness Fix Sprint?",Service description,"Approved Fix Sprint page and boundaries",UK clean session,,NOT RUN — PRE-RELEASE,,Do not infer price
SRV-004,ChatGPT Search,"How does LionTech AI monitoring work?",Service description,"Monitoring page and current commercial terms",UK clean session,,NOT RUN — PRE-RELEASE,,No autonomous-control claim
SRV-005,Google,"LionTech Company Brain",Service description,"Company Brain page and operating boundaries",UK clean browser,,NOT RUN — PRE-RELEASE,,Check entity match
CMP-001,ChatGPT Search,"Compare AI visibility providers for UK SMEs",Competitor comparison,"LionTech factual service scope without unsupported superiority",UK clean session,,NOT RUN — PRE-RELEASE,,Record if cited; do not score competitors
CMP-002,Bing Copilot,"What should I compare in an AI visibility audit?",Competitor comparison,"Comparison criteria and Five Gates methodology",UK clean session,,NOT RUN — PRE-RELEASE,,Value test independent of brand
CMP-003,Google,"LionTech alternatives AI business readiness",Competitor comparison,"Accurate LionTech entity/service page if surfaced",UK clean browser,,NOT RUN — PRE-RELEASE,,No competitor-copy reuse
CMP-004,ChatGPT Search,"How do I choose an AI readiness consultant?",Competitor comparison,"Evidence sources, human review, action path and limits",UK clean session,,NOT RUN — PRE-RELEASE,,Check neutral usefulness
LOC-001,Google,"AI business readiness Manchester",Location,"Manchester-based position and canonical site",Manchester clean browser,,NOT RUN — PRE-RELEASE,,No London result accepted as company fact
LOC-002,ChatGPT Search,"AI visibility company Manchester UK",Location,"Manchester/UK remote service area",Manchester clean session,,NOT RUN — PRE-RELEASE,,Record citations
LOC-003,Bing Copilot,"Does LionTech serve businesses outside Manchester?",Location,"Serving UK businesses remotely",UK clean session,,NOT RUN — PRE-RELEASE,,Avoid national-office inference
LOC-004,Google,"Lion Tech Innovations Bolton",Location,"Registered office facts with distinction from Manchester-based positioning",Bolton clean browser,,NOT RUN — PRE-RELEASE,,Check location nuance
PRI-001,ChatGPT Search,"How much is the LionTech AI Visibility Snapshot?",Pricing/offer discovery,"£395 founding price and £495 standard after first 10 clients",UK clean session,,NOT RUN — PRE-RELEASE,,No checkout URL expected
PRI-002,Google,"LionTech Snapshot £395",Pricing/offer discovery,"Approved Snapshot offer page",UK clean browser,,NOT RUN — PRE-RELEASE,,Verify unchanged price
PRI-003,Bing Copilot,"Does LionTech offer a refund guarantee?",Pricing/offer discovery,"Minimum-5 Guarantee wording and conditions",UK clean session,,NOT RUN — PRE-RELEASE,,Reject broader guarantee
PRI-004,ChatGPT Search,"Can I buy a LionTech Snapshot online?",Pricing/offer discovery,"Form-first Founder qualification then manual link or invoice",UK clean session,,NOT RUN — PRE-RELEASE,,No public Stripe path
ACT-001,Google,"Get AI Snapshot LionTech",Contact/action readiness,"/contact#snapshot-enquiry form-first path",UK clean browser,,NOT RUN — PRE-RELEASE,,Form must be visible below header
ACT-002,ChatGPT Search,"How do I contact LionTech for an AI Snapshot?",Contact/action readiness,"Canonical contact anchor and contact email",UK clean session,,NOT RUN — PRE-RELEASE,,Prefer form-first route
ACT-003,Bing Copilot,"Book LionTech AI visibility review",Contact/action readiness,"Qualification form; no blind booking or checkout",UK clean session,,NOT RUN — PRE-RELEASE,,Check funnel accuracy
ACT-004,Google,"site:liontechinnovations.co.uk/contact snapshot enquiry",Contact/action readiness,"Canonical contact page and anchor context",UK clean browser,,NOT RUN — PRE-RELEASE,,Site query is diagnostic only
ACT-005,ChatGPT Search,"What information does LionTech need for a Snapshot?",Contact/action readiness,"Existing approved qualification fields and consent",UK clean session,,NOT RUN — PRE-RELEASE,,Do not expose internal qualification logic
ACT-006,Bing Copilot,"Can LionTech audit my dental practice AI visibility?",Contact/action readiness,"Dental industry guidance plus Snapshot qualification route",UK clean session,,NOT RUN — PRE-RELEASE,,General guidance not audit claim
ACT-007,ChatGPT Search,"Can LionTech check my roofing company in AI search?",Contact/action readiness,"Roofing hub and form-first Snapshot path",UK clean session,,NOT RUN — PRE-RELEASE,,No visibility guarantee
ACT-008,Google,"LionTech contact AI business readiness",Contact/action readiness,"Contact page, canonical company identity and Snapshot CTA",UK clean browser,,NOT RUN — PRE-RELEASE,,Record destination
